complex_name,protein_path,ligand_description,protein_sequence
Propranolol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Propranolol.sdf,
Aluminium,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Aluminium.sdf,
Oxcarbazepine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Oxcarbazepine.sdf,
Flunisolide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Flunisolide.sdf,
ZINC000000006784,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000006784.sdf,
Bromodiphenhydramine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Bromodiphenhydramine.sdf,
Tiopronin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tiopronin.sdf,
Deserpidine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Deserpidine.sdf,
SPI_1005,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/SPI_1005.sdf,
Tetrahydrofolic_acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tetrahydrofolic_acid.sdf,
Triflupromazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Triflupromazine.sdf,
Molindone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Molindone.sdf,
Desoxycorticosterone_Pivalate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Desoxycorticosterone_Pivalate.sdf,
Cefixime,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cefixime.sdf,
Convallatoxin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Convallatoxin.sdf,
ZINC000000001651,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001651.sdf,
Altropane,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Altropane.sdf,
Pergolide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Pergolide.sdf,
Methysergide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Methysergide.sdf,
Fosphenytoin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Fosphenytoin.sdf,
Bufexamac,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Bufexamac.sdf,
Rifapentine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Rifapentine.sdf,
Osimertinib,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Osimertinib.sdf,
Halcinonide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Halcinonide.sdf,
Iodamide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Iodamide.sdf,
Benzonatate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Benzonatate.sdf,
ZINC000000002698,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000002698.sdf,
Methyprylon,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Methyprylon.sdf,
Idarubicin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Idarubicin.sdf,
Enflurane,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Enflurane.sdf,
Dinoprost_Tromethamine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Dinoprost_Tromethamine.sdf,
Bifonazole,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Bifonazole.sdf,
Mitapivat,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Mitapivat.sdf,
Tolazamide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tolazamide.sdf,
Prednimustine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Prednimustine.sdf,
Nifurtimox,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Nifurtimox.sdf,
Tazobactam,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tazobactam.sdf,
Suplatast_tosilate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Suplatast_tosilate.sdf,
Loxoprofen_gel,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Loxoprofen_gel.sdf,
Tocainide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tocainide.sdf,
Vorapaxar,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Vorapaxar.sdf,
ZINC000000007671,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000007671.sdf,
Desloratadine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Desloratadine.sdf,
Cyclothiazide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cyclothiazide.sdf,
Pheniramine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Pheniramine.sdf,
Trimethadione,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Trimethadione.sdf,
Toremifene,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Toremifene.sdf,
Moclobemide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Moclobemide.sdf,
Paramethasone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Paramethasone.sdf,
Sulfasalazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sulfasalazine.sdf,
Cloxacillin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cloxacillin.sdf,
Acetrizoate_Sodium,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Acetrizoate_Sodium.sdf,
Azelaic_Acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Azelaic_Acid.sdf,
Gonadoreline_6_d_trp_acetate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Gonadoreline_6_d_trp_acetate.sdf,
Cycrimine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cycrimine.sdf,
Oxaliplatin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Oxaliplatin.sdf,
Cefoperazone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cefoperazone.sdf,
Ethanolamine_oleate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ethanolamine_oleate.sdf,
Prazosin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Prazosin.sdf,
ZINC000000008074,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000008074.sdf,
Oxazepam,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Oxazepam.sdf,
ZINC000000003546,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000003546.sdf,
Moexipril,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Moexipril.sdf,
Urapidil,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Urapidil.sdf,
Halopredone_acetate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Halopredone_acetate.sdf,
Fenoprofen,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Fenoprofen.sdf,
Nifedipine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Nifedipine.sdf,
Gadoteridol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Gadoteridol.sdf,
Pimecrolimus,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Pimecrolimus.sdf,
Gonadorelin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Gonadorelin.sdf,
Lopinavir,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lopinavir.sdf,
Pyrantel,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Pyrantel.sdf,
Lanoconazole,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lanoconazole.sdf,
ZINC000000000385,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000385.sdf,
Empagliflozin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Empagliflozin.sdf,
Diethylcarbamazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Diethylcarbamazine.sdf,
Adenine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Adenine.sdf,
Prilocaine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Prilocaine.sdf,
Zinc_Chloride,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Zinc_Chloride.sdf,
Trihexyphenidyl,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Trihexyphenidyl.sdf,
ZINC000000001738,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001738.sdf,
Clopidogrel,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Clopidogrel.sdf,
Desoximetasone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Desoximetasone.sdf,
Natamycin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Natamycin.sdf,
Etoposide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Etoposide.sdf,
Paramethadione,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Paramethadione.sdf,
Mometasone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Mometasone.sdf,
Droxidopa,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Droxidopa.sdf,
ZINC000000000614,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000614.sdf,
Fulvestrant,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Fulvestrant.sdf,
Lofexidine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lofexidine.sdf,
Pralsetinib,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Pralsetinib.sdf,
Levacecarnine_hci,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Levacecarnine_hci.sdf,
Levonorgestrel,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Levonorgestrel.sdf,
Calcitriol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Calcitriol.sdf,
ZINC000000000984,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000984.sdf,
Oxacillin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Oxacillin.sdf,
Penicillamine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Penicillamine.sdf,
Halometasone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Halometasone.sdf,
Sulfamerazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sulfamerazine.sdf,
Oxidized_glutathione,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Oxidized_glutathione.sdf,
Amcinonide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Amcinonide.sdf,
Piperazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Piperazine.sdf,
ZINC000000005885,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000005885.sdf,
Salicyclic_acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Salicyclic_acid.sdf,
Cefatrizine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cefatrizine.sdf,
Caspofungin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Caspofungin.sdf,
NKM,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/NKM.sdf,
Digoxin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Digoxin.sdf,
Clofoctol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Clofoctol.sdf,
Prasugrel,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Prasugrel.sdf,
Omacetaxine_mepesuccinate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Omacetaxine_mepesuccinate.sdf,
Trifluoperazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Trifluoperazine.sdf,
Vibegron,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Vibegron.sdf,
ZINC000000005563,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000005563.sdf,
Trimethobenzamide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Trimethobenzamide.sdf,
Vasopressin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Vasopressin.sdf,
Elliptinium_acetate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Elliptinium_acetate.sdf,
Phentermine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Phentermine.sdf,
Desmopressin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Desmopressin.sdf,
Fruquintinib,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Fruquintinib.sdf,
ZINC000000000665,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000665.sdf,
ZINC000000006847,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000006847.sdf,
ZINC000000004046,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004046.sdf,
ZINC000000000076,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000076.sdf,
Ramosetron,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ramosetron.sdf,
Isradipine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Isradipine.sdf,
Sodium_oxybate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sodium_oxybate.sdf,
Pasireotide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Pasireotide.sdf,
L_Tryptophan,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/L_Tryptophan.sdf,
Ethyl_chloride,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ethyl_chloride.sdf,
Elvitegravir,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Elvitegravir.sdf,
Lobaplatin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lobaplatin.sdf,
Symbicort,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Symbicort.sdf,
ZINC000000008650,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000008650.sdf,
Active_62_Kd_411nM_IC50_NA_,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Active_62_Kd_411nM_IC50_NA_.sdf,
L_ornithine_L_aspartate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/L_ornithine_L_aspartate.sdf,
Magnesium_Sulfate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Magnesium_Sulfate.sdf,
Metyrapone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Metyrapone.sdf,
Kanamycin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Kanamycin.sdf,
Procyclidine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Procyclidine.sdf,
Allantoin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Allantoin.sdf,
L_alanyl_l_glutamine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/L_alanyl_l_glutamine.sdf,
Remimazolam,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Remimazolam.sdf,
ZINC000000004541,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004541.sdf,
Procaterol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Procaterol.sdf,
Demeclocycline,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Demeclocycline.sdf,
ZINC000000004810,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004810.sdf,
Mechlorethamine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Mechlorethamine.sdf,
Sparsentan,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sparsentan.sdf,
Ezetimibe,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ezetimibe.sdf,
Sodium_bicarbonate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sodium_bicarbonate.sdf,
Artemisinin_SP,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Artemisinin_SP.sdf,
FADROZOLE,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/FADROZOLE.sdf,
Etidocaine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Etidocaine.sdf,
Estropipate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Estropipate.sdf,
ZINC000000006995,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000006995.sdf,
Tavaborole,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tavaborole.sdf,
Relugolix,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Relugolix.sdf,
Midodrine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Midodrine.sdf,
Imiquimod,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Imiquimod.sdf,
Erdosteine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Erdosteine.sdf,
Colchicine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Colchicine.sdf,
ZINC000000001658,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001658.sdf,
ZINC000000005331,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000005331.sdf,
Active_46_IC50_248nM,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Active_46_IC50_248nM.sdf,
ZINC000000000024,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000024.sdf,
Ethosuximide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ethosuximide.sdf,
Cyclizine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cyclizine.sdf,
Sulbactam_sodium,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sulbactam_sodium.sdf,
ZINC000000009006,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000009006.sdf,
Iodixanol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Iodixanol.sdf,
Lubiprostone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lubiprostone.sdf,
Solamargine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Solamargine.sdf,
Diltiazem,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Diltiazem.sdf,
Panobinostat,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Panobinostat.sdf,
Cyclophosphamide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cyclophosphamide.sdf,
Undecylenic_acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Undecylenic_acid.sdf,
Inactive_3_IC50_L5uM,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Inactive_3_IC50_L5uM.sdf,
Butorphanol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Butorphanol.sdf,
Zinforo,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Zinforo.sdf,
Ammonium_chloride,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ammonium_chloride.sdf,
Phenyltoloxamine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Phenyltoloxamine.sdf,
Attapulgite,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Attapulgite.sdf,
Zavegepant,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Zavegepant.sdf,
Rifampin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Rifampin.sdf,
Benzthiazide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Benzthiazide.sdf,
Acetylcysteine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Acetylcysteine.sdf,
ZINC000000001901,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001901.sdf,
ZINC000000000935,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000935.sdf,
Cephalothin_Sodium,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cephalothin_Sodium.sdf,
Epoprostenol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Epoprostenol.sdf,
Thiamphenicol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Thiamphenicol.sdf,
Flunarizine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Flunarizine.sdf,
Reboxetine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Reboxetine.sdf,
Unoprostone_isopropyl_ester,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Unoprostone_isopropyl_ester.sdf,
Upadacitinib,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Upadacitinib.sdf,
Tranexamic_Acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tranexamic_Acid.sdf,
Leniolisib,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Leniolisib.sdf,
ZINC000000007270,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000007270.sdf,
Succimer,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Succimer.sdf,
Fentanyl_droperidol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Fentanyl_droperidol.sdf,
Bremelanotide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Bremelanotide.sdf,
Cefamandole,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Cefamandole.sdf,
Silver_sulfadiazine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Silver_sulfadiazine.sdf,
Dehydrocholic_acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Dehydrocholic_acid.sdf,
Tenofovir_disoproxil_fumarate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tenofovir_disoproxil_fumarate.sdf,
ZINC000000001306,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001306.sdf,
Hyoscyamine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Hyoscyamine.sdf,
Ergoloid_mesylate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ergoloid_mesylate.sdf,
Gepirone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Gepirone.sdf,
ZINC000000004897,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004897.sdf,
Ethambutol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Ethambutol.sdf,
Voclosporin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Voclosporin.sdf,
Entacapone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Entacapone.sdf,
Eslicarbazepine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Eslicarbazepine.sdf,
ZINC000000004590,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004590.sdf,
Aminosalicylic_Acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Aminosalicylic_Acid.sdf,
Iofetamine_Hydrochloride_I_123,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Iofetamine_Hydrochloride_I_123.sdf,
Docosanol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Docosanol.sdf,
ZINC000000001925,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001925.sdf,
ZINC000000000796,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000796.sdf,
ZINC000000004539,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004539.sdf,
Insulin_glulisine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Insulin_glulisine.sdf,
Carglumic_acid,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Carglumic_acid.sdf,
Primaquine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Primaquine.sdf,
Efavirenz,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Efavirenz.sdf,
Sulfinpyrazone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Sulfinpyrazone.sdf,
Miconazole,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Miconazole.sdf,
Lusutrombopag,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lusutrombopag.sdf,
ZINC000000000011,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000011.sdf,
Temocillin_disodium,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Temocillin_disodium.sdf,
ZINC000000004317,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000004317.sdf,
Dienestrol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Dienestrol.sdf,
Lenampicillin_hci,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Lenampicillin_hci.sdf,
Trimetazidine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Trimetazidine.sdf,
ZINC000000001059,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000001059.sdf,
ZINC000000000167,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000000167.sdf,
Iopentol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Iopentol.sdf,
