drug,highest_confidence,within_pocket
Active_58_Kd_159nM_IC50_NA,0.4400,True
Riluzole,0.4400,True
ZINC000000001968,0.4400,True
Phenyl_Aminosalicylate,0.4400,True
Active_19_IC50_0_18uM,0.4400,True
ZINC000000006299,0.4300,True
Dichlorphenamide,0.4300,True
Levetiracetam,0.4300,True
ZINC000000002210,0.4300,True
ZINC000000000071,0.4300,True
Pemoline,0.4300,True
Dihydroartemisinin,0.4300,True
Barbital,0.4300,True
Pyrantel,0.4200,True
Lobaplatin,0.4200,True
Thiabendazole,0.4200,True
Active_50_Kd_766nM_IC50_NA,0.4200,True
Thiamylal,0.4200,True
ZINC000000006138,0.4100,True
ZINC000000004714,0.4100,True
UFT,0.4100,True
Potassium_Perchlorate,0.4100,True
ZINC000000001569,0.4100,True
ZINC000000004383,0.4100,True
Cyclopentolate,0.4100,True
Inactive_23_IC50_2_1uM,0.4100,True
Benzoyl_peroxide,0.4100,True
Chromic_phosphate_P_32,0.4100,True
Kinetin,0.4100,True
Mianserin,0.4100,True
Ketorolac,0.4100,True
Mercaptopurine,0.4000,True
ZINC000000001965,0.4000,True
Mirtazapine,0.4000,True
Inactive_30_IC50_2uM,0.4000,True
Allantoin,0.4000,True
Levamisole,0.4000,True
Active_59_IC50_87nM,0.4000,True
Hydrogen_peroxide,0.4000,True
Carbachol,0.4000,True
DEOXYCYTIDINE,0.4000,True
ZINC000000008076,0.3900,True
ZINC000000003826,0.3900,True
ZINC000000008935,0.3900,True
Flumazenil,0.3900,True
FLUORESCEIN,0.3900,True
Inactive_17_NoActivity,0.3900,True
Oxaprozin,0.3900,True
Mazindol,0.3800,True
ZINC000000006169,0.3800,True
ZINC000000000381,0.3800,True
Active_63_Kd_85nM_IC50_NA,0.3800,True
Ritlecitinib,0.3800,True
ZINC000000004494,0.3800,True
ZINC000000007671,0.3700,True
Active_32_IC50_0_10uM,0.3700,True
ZINC000000008082,0.3700,True
Fentiazac,0.3700,True
ZINC000000004537,0.3700,True
ZINC000000003741,0.3600,True
ZINC000000004882,0.3600,True
Sulbactam_sodium,0.3600,True
ZINC000000003441,0.3600,True
TECFIDERA,0.3600,True
Arteether,0.3600,True
ACECLIDINE,0.3500,True
Nelarabine,0.3500,True
Alclofenac,0.3500,True
Anagrelide,0.3500,True
Acetazolamide,0.3500,True
ZINC000000001601,0.3500,True
Actarit,0.3500,True
Tolcapone,0.3500,True
ZINC000000002133,0.3500,True
Amyl_nitrite,0.3400,True
Entecavir,0.3400,True
Oxycodone,0.3400,True
ZINC000000004674,0.3400,True
Gemcitabine,0.3400,True
Meprobamate,0.3400,True
L_Proline,0.3400,True
Bromazepam,0.3400,True
Flufenamic_Acid,0.3400,True
Lanthanum_carbonate,0.3400,True
ZINC000000002757,0.3400,True
Felbinac,0.3400,True
ZINC000000002102,0.3400,True
ZINC000000001259,0.3400,True
Cenobamate,0.3400,True
ZINC000000007341,0.3300,True
Mebutamate,0.3300,True
Sodium_Acetate_Anhydrous,0.3300,True
ZINC000000008650,0.3300,True
Diflunisal,0.3300,True
Nitrofurazone,0.3300,True
Nitazoxanide,0.3300,True
ZINC000000002057,0.3300,True
Propylthiouracil,0.3200,True
Boric_acid,0.3200,True
Fenoprofen,0.3200,True
Mitomycin_A,0.3200,True
Ammoniated_mercury,0.3200,True
Pelubiprofen,0.3200,True
Flutamide,0.3200,True
Ribavirin,0.3200,True
Sulfameter,0.3100,True
Nifurtimox,0.3100,True
Dexibuprofen,0.3100,True
ZINC000000006995,0.3100,True
Fomepizole,0.3100,True
ZINC000000006739,0.3100,True
Stiripentol,0.3100,True
Active_31_IC50_0_12uM,0.3100,True
B_Lactams,0.3100,True
Active_26_IC50_0_76uM,0.3100,True
Salsalate,0.3100,True
ZINC000000001445,0.3100,True
Kawain,0.3100,True
Ketobemidone,0.3000,True
ZINC000000001071,0.3000,True
Active_55_Kd_116nM_IC50_NA,0.3000,True
Vidarabine,0.3000,True
ZINC000000000724,0.3000,True
Perflubron,0.2900,True
Chlorphenesin,0.2900,True
Galantamine,0.2900,True
ZINC000000005232,0.2900,True
Quinolones,0.2900,True
Dimenhydrinate,0.2900,True
Chlorpropamide,0.2900,True
Nedaplatin,0.2900,True
ZINC000000001785,0.2900,True
Minoxidil,0.2800,True
ZINC000000002756,0.2800,True
Azatadine,0.2800,True
Active_66_Kd_240nM_IC50_NA,0.2800,True
Active_27_IC50_0_17uM,0.2800,True
Chlorzoxazone,0.2800,True
Glutathione,0.2800,True
Olanzapine,0.2800,True
ZINC000000001870,0.2800,True
Zinc_Acetate,0.2800,True
Aprobarbital,0.2700,True
Polaprezinc,0.2700,True
Ketoprofen,0.2700,True
Methazolamide,0.2700,True
ZINC000000003008,0.2700,True
Chlordiazepoxide,0.2700,True
Ethotoin,0.2700,True
Tenoxicam,0.2700,True
ZINC000000005743,0.2700,True
Bifonazole,0.2600,True
ZINC000000002007,0.2600,True
Hydroxyflutamide,0.2600,True
Active_67_Kd_85nM_IC50_NA,0.2600,True
PT_2977_IC50_0_009uM,0.2600,True
ZINC000000001102,0.2600,True
Amlexanox,0.2600,True
Sulfaphenazole,0.2600,True
ZINC000000000394,0.2600,True
ZINC000000003047,0.2600,True
Hydralazine,0.2600,True
Isosorbide_Mononitrate,0.2600,True
Uracil_mustard,0.2500,True
ZINC000000003546,0.2500,True
Active_46_IC50_248nM,0.2500,True
Active_53_IC50_195nM,0.2500,True
Mitomycin,0.2500,True
Alizapride,0.2500,True
14C_urea,0.2500,True
ZINC000000000831,0.2500,True
ZINC000000006808,0.2500,True
ZINC000000003771,0.2500,True
ZINC000000000617,0.2500,True
Ifosfamide,0.2500,True
Romiplostim,0.2500,True
Phenytoin,0.2500,True
Cladribine,0.2500,True
ZINC000000001575,0.2500,True
ZINC000000001037,0.2500,True
protirelin,0.2500,True
Monobenzone,0.2500,True
Triacetin,0.2500,True
Calcium_Acetate,0.2500,True
Lamivudine,0.2500,True
ZINC000000002754,0.2500,True
ZINC000000005908,0.2500,True
Tiazofurin,0.2400,True
Fenhexamid,0.2400,True
Sodium_salicylate,0.2400,True
Azacitidine,0.2400,True
Chymopapain,0.2400,True
Menadione,0.2400,True
Ingavirin,0.2400,True
Inactive_16_NoActivity,0.2400,True
Ibuprofen,0.2400,True
Didanosine,0.2400,True
ZINC000000006274,0.2300,True
Vitamin_C,0.2300,True
Cantharidin,0.2300,True
ZINC000000004539,0.2300,True
Phenindamine,0.2300,True
Tiopronin,0.2300,True
Loxoprofen_gel,0.2300,True
Magnesium_Sulfate,0.2300,True
Vigabatrin,0.2300,True
Manganese_Chloride_Tetrahydrate,0.2300,True
Rofecoxib,0.2300,True
Proguanil,0.2300,True
Sarkomycin,0.2300,True
Zalcitabine,0.2300,True
Bethanechol,0.2300,True
Lisdexamfetamine,0.2300,True
Warfarin,0.2200,True
Phenacemide,0.2200,True
Phenazopyridine,0.2200,True
Acetylcholine,0.2200,True
Alcaftadine,0.2200,True
Phenylbutazone,0.2200,True
Adenosine,0.2200,True
Propyliodone,0.2200,True
ZINC000000005475,0.2200,True
Temocillin_disodium,0.2100,True
Dimethyl_Sulfoxide,0.2100,True
Metixene,0.2100,True
Methyl_aminolevulinate,0.2100,True
Beclamide,0.2100,True
Levacecarnine_hci,0.2100,True
ZINC000000000200,0.2100,True
Ticarcillin,0.2100,True
Piroxicam,0.2100,True
ZINC000000000614,0.2100,True
ZINC000000000883,0.2100,True
Tiaprofenic_acid,0.2100,True
Gabapentin,0.2100,True
ZINC000000005014,0.2100,True
ZINC000000005882,0.2100,True
ZINC000000002434,0.2100,True
Antazoline,0.2100,True
Sodium_thiosalicylate,0.2100,True
Nicotine,0.2100,True
Furazolidone,0.2100,True
Venlafaxine,0.2100,True
Ethoxzolamide,0.2100,True
Tranylcypromine,0.2100,True
ZINC000000004467,0.2000,True
Tavaborole,0.2000,True
ZINC000000000076,0.2000,True
Flurbiprofen,0.2000,True
Inactive_18_NoActivity,0.2000,True
Sulodexide,0.2000,True
Tiagabine,0.2000,True
Enprofylline,0.2000,True
Active_29_IC50_0_43uM,0.2000,True
Active_28_IC50_0_09uM,0.2000,True
ZINC000000004270,0.2000,True
Hesperetin,0.1900,True
ZINC000000005006,0.1900,True
Phosphate,0.1900,True
Bupropion,0.1900,True
ZINC000000007872,0.1900,True
Ethanol,0.1900,True
Talbutal,0.1900,True
ZINC000000000031,0.1900,True
ZINC000000001021,0.1800,True
Albendazole,0.1800,True
ZINC000000006642,0.1800,True
Sodium_Monofluorophosphate,0.1800,True
Zidovudine,0.1800,True
Lenalidomide,0.1800,True
Varenicline,0.1800,True
ZINC000000000214,0.1800,True
Rucaparib,0.1800,True
ZINC000000004636,0.1800,True
Allyl_isothiocyanate,0.1800,True
Decitabine,0.1800,True
Niflumic_Acid,0.1800,True
Anastrozole,0.1800,True
Loxapine,0.1800,True
Pyridostigmine,0.1800,True
ZINC000000004623,0.1800,True
Imidazole_salicylate,0.1800,True
Succinic_acid,0.1800,True
Inactive_20_NoActivity,0.1700,True
Tafamidis_meglumine,0.1700,True
Imipenem,0.1700,True
ZINC000000002463,0.1700,True
ZINC000000002437,0.1700,True
ZINC000000009006,0.1700,True
Ganciclovir,0.1700,True
ZINC000000007270,0.1700,True
L_alanyl_l_glutamine,0.1700,True
Aminoglutethimide,0.1700,True
Potassium_Chloride,0.1700,True
Guanadrel_Sulfate,0.1700,True
ZINC000000000949,0.1700,True
Carboplatin,0.1700,True
ZINC000000006514,0.1700,True
Povidone_iodine,0.1700,True
ZINC000000000436,0.1700,True
Diphenylpyraline,0.1700,True
Mavacamten,0.1700,True
ZINC000000000135,0.1600,True
ZINC000000001876,0.1600,True
Manganese_Sulfate,0.1600,True
Active_54_Kd_837nM_IC50_NA,0.1600,True
Quercetin,0.1600,True
Nitrofurantoin,0.1600,True
ZINC000000001856,0.1600,True
Lumiracoxib,0.1600,True
Ethchlorvynol,0.1600,True
ZINC000000006266,0.1600,True
Dopamine,0.1600,True
Anisodamine,0.1600,True
ZINC000000008036,0.1600,True
ZINC000000001219,0.1600,True
Potassium_Acetate,0.1600,True
Metolazone,0.1600,True
ZINC000000003575,0.1500,True
Fenoldopam,0.1500,True
ZINC000000000868,0.1500,True
Mizoribine,0.1500,True
Sulfamerazine,0.1500,True
Rimiterol,0.1500,True
Phenelzine,0.1500,True
Pramipexole,0.1500,True
ZINC000000006255,0.1500,True
Biapenem,0.1500,True
Tramadol,0.1500,True
Amezinium,0.1500,True
Active_65_IC50_32nM,0.1500,True
Phensuximide,0.1500,True
Norepinephrine,0.1500,True
Active_60_Kd_38nM_IC50_NA,0.1400,True
Tizanidine,0.1400,True
Asenapine,0.1400,True
Chlorproguanil,0.1400,True
Erdosteine,0.1400,True
Pizotyline,0.1400,True
Streptozocin,0.1400,True
ZINC000000002202,0.1400,True
Doxifluridine,0.1400,True
Pentostatin,0.1400,True
Irsogladine,0.1400,True
Morantel_tartrate,0.1400,True
ZINC000000001349,0.1400,True
Acenocoumarol,0.1400,True
Dipivefrin,0.1400,True
Naproxen,0.1400,True
Sodium_Succinate,0.1400,True
Active_21_IC50_0_46uM,0.1400,True
Thiopental,0.1400,True
ZINC000000003695,0.1400,True
ZINC000000001314,0.1400,True
Pantothenic_acid,0.1300,True
ZINC000000002732,0.1300,True
ZINC000000004590,0.1300,True
Fluconazole,0.1300,True
Carbocisteine,0.1300,True
Cupric_Sulfate,0.1300,True
ZINC000000001661,0.1300,True
Gliclazide,0.1300,True
Zinc_Sulfate,0.1300,True
Glucosamine,0.1300,True
Aniracetam,0.1300,True
Anisodine,0.1300,True
Active_10_IC50_0_5uM,0.1200,True
Ethacrynic_acid,0.1200,True
ZINC000000002755,0.1200,True
Anisindione,0.1200,True
Prilocaine,0.1200,True
Adenine,0.1200,True
Tolazamide,0.1200,True
Procaine,0.1200,True
ZINC000000005903,0.1200,True
Amitriptyline,0.1200,True
Methenamine,0.1200,True
Penciclovir,0.1200,True
ZINC000000002255,0.1200,True
TRIENTINE,0.1200,True
Pilocarpine,0.1200,True
Betaine,0.1100,True
Sulfanilamide,0.1100,True
Methyldopa,0.1100,True
Inactive_22_IC50_2_8uM,0.1100,True
Oxiracetam,0.1100,True
Perhexiline,0.1100,True
Desloratadine,0.1100,True
Ethyl_chloride,0.1100,True
Clofibrate,0.1100,True
Inactive_3_IC50_L5uM,0.1100,True
Sodium_phosphate_P_32,0.1100,True
Inactive_9_IC50_L10uM,0.1100,True
Atropine,0.1100,True
ZINC000000000941,0.1100,True
Melphalan,0.1100,True
Exjade,0.1100,True
Tiamenidine,0.1100,True
Amifostine,0.1000,True
Lorazepam,0.1000,True
Azelaic_Acid,0.1000,True
Ondansetron,0.1000,True
Hexobarbital,0.1000,True
Niclosamide,0.1000,True
ZINC000000004616,0.1000,True
Pregabalin,0.1000,True
Fludeoxyglucose_F_18,0.1000,True
ZINC000000007871,0.1000,True
Selenomethionine_Se_75,0.1000,True
Memantine,0.1000,True
Iron_Dextran,0.1000,True
THS_044_IC50_L25uM,0.1000,True
Temozolomide,0.1000,True
Phentolamine,0.0900,True
ZINC000000003544,0.0900,True
ZINC000000008037,0.0900,True
Sodium_polystyrene_sulfonate,0.0900,True
ZINC000000000704,0.0900,True
Active_64_Kd_194nM_IC50_NA,0.0900,True
SPI_1005,0.0900,True
Pentoxifylline,0.0900,True
ZINC000000004293,0.0900,True
Olprinone,0.0900,True
Carumonam,0.0900,True
ZINC000000004574,0.0900,True
ZINC000000000628,0.0900,True
Desvenlafaxine,0.0900,True
ZINC000000007340,0.0900,True
Guanethidine,0.0900,True
Barium_sulfate,0.0800,True
Procainamide,0.0800,True
crisaborole,0.0800,True
Clopidogrel,0.0800,True
Hyoscyamine,0.0800,True
Sapropterin_hydrochloride,0.0800,True
ZINC000000003451,0.0800,True
ZINC000000005885,0.0800,True
Entacapone,0.0800,True
ZINC000000004085,0.0800,True
Hydroxyurea,0.0800,True
BENZYL_BENZOATE,0.0800,True
Lamotrigine,0.0800,True
Phenprocoumon,0.0800,True
Artesunate,0.0800,True
ZINC000000001693,0.0800,True
Cevimeline,0.0800,True
Pomalidomide,0.0800,True
Active_6_IC50_0_33uM,0.0800,True
Methoxsalen,0.0800,True
Emtricitabine,0.0800,True
Isoproterenol,0.0800,True
Faropenem,0.0800,True
Inactive_11_NoActivity,0.0700,True
ZINC000000000957,0.0700,True
Betain_anhydrous,0.0700,True
Fosmidomycin,0.0700,True
Arginine,0.0700,True
ZINC000000005656,0.0700,True
Piracetam,0.0700,True
ZINC000000005469,0.0700,True
Tiludronic_acid,0.0700,True
ZINC000000002115,0.0700,True
Proflavine,0.0700,True
Ethionamide,0.0700,True
ZINC000000005516,0.0700,True
Azathioprine,0.0700,True
Busulfan,0.0700,True
Zileuton,0.0600,True
Melevodopa,0.0600,True
Pipobroman,0.0600,True
Methoxamine,0.0600,True
Arglabin,0.0600,True
Cycrimine,0.0600,True
Ramosetron,0.0600,True
Tenofovir,0.0600,True
Clotiazepam,0.0600,True
Dexchlorpheniramine_Maleate,0.0600,True
Paramethadione,0.0600,True
Carbazochrome_salicylate,0.0600,True
Rufinamide,0.0600,True
Fluorescein_Sodium,0.0600,True
Pindolol,0.0600,True
Dihydroxyaluminium,0.0600,True
Etanidazole,0.0600,True
Oseltamivir,0.0600,True
Acamprosate,0.0600,True
Salicylamide,0.0600,True
Dexpanthenol,0.0500,True
Sodium_thiosulfate,0.0500,True
Nitrazepam,0.0500,True
Estazolam,0.0500,True
Propyphenazone,0.0500,True
Aminocaproic_Acid,0.0500,True
TRICLABENDAZOLE,0.0500,True
Estradiol,0.0500,True
Acetic_Acid_Glacial,0.0500,True
Mesna,0.0500,True
Indeloxazine,0.0500,True
Mobenakin,0.0500,True
Ibudilast,0.0500,True
ZINC000000004311,0.0500,True
Lodoxamide,0.0500,True
Aminolevulinic_acid_hci,0.0500,True
Scopolamine,0.0500,True
Nateglinide,0.0400,True
Amdinocillin,0.0400,True
ZINC000000005879,0.0400,True
ZINC000000002069,0.0400,True
ZINC000000005723,0.0400,True
Salicyclic_acid,0.0400,True
Ambroxol,0.0400,True
Biperiden,0.0400,True
Cerulenin,0.0400,True
ZINC000000001582,0.0400,True
Paraldehyde,0.0400,True
Lomustine,0.0400,True
Talc,0.0400,True
Migalastat,0.0400,True
MCI_186,0.0400,True
Dextroamphetamine,0.0400,True
Meloxicam,0.0400,True
ZINC000000000517,0.0400,True
Tioconazole,0.0400,True
Inactive_8_IC50_2uM,0.0300,True
ZINC000000000499,0.0300,True
Cetiedil,0.0300,True
Chloroprocaine,0.0300,True
ZINC000000002127,0.0300,True
Cyclandelate,0.0300,True
Cupric_Chloride,0.0300,True
Nitisinone,0.0300,True
Sulfacytine,0.0300,True
Fluorouracil,0.0300,True
Elvitegravir_cobicistat_emtricitabine_tenofovir_disoproxil_fumarate,0.0300,True
Brinzolamide,0.0300,True
ZINC000000004099,0.0300,True
Panipenem,0.0300,True
13C_urea,0.0300,True
Isocarboxazid,0.0300,True
Dacarbazine,0.0300,True
Glycodiazine,0.0300,True
Metformin,0.0300,True
Ibopamine_hci,0.0300,True
Duloxetine,0.0300,True
Etozolin,0.0300,True
ZINC000000001318,0.0300,True
Chlorambucil,0.0300,True
Fludarabine,0.0200,True
Isoflurane,0.0200,True
Uridine,0.0200,True
Bufexamac,0.0200,True
Molsidomine,0.0200,True
Eptaplatin,0.0200,True
Treosulfan,0.0200,True
Metyrapone,0.0200,True
ZINC000000003931,0.0200,True
Active_62_Kd_411nM_IC50_NA,0.0200,True
Amphetamine,0.0200,True
L_glutamine,0.0200,True
Cysteine_Hydrochloride,0.0200,True
Sibutramine,0.0200,True
Metaxalone,0.0200,True
ZINC000000002320,0.0200,True
Icodextrin,0.0200,True
Pyrithione_Zinc,0.0200,True
Levorphanol,0.0200,True
Thiacetazone,0.0200,True
Metyrosine,0.0200,True
Sodium_nitroprusside,0.0200,True
Betazole,0.0200,True
Acetaminophen,0.0100,True
ZINC000000006156,0.0100,True
Sulfamylon,0.0100,True
Griseofulvin,0.0100,True
Colestilan,0.0100,True
Croconazole,0.0100,True
ZINC000000002913,0.0100,True
ZINC000000004579,0.0100,True
ZINC000000000078,0.0100,True
Methylphenobarbital,0.0100,True
ZINC000000006693,0.0100,True
Clenbuterol,0.0100,True
ZINC000000001083,0.0100,True
Benzoic_Acid,0.0100,True
Topiramate,0.0100,True
ZINC000000000850,0.0100,True
ZINC000000000018,0.0100,True
Stepronin,0.0100,True
Furosemide,0.0100,True
Lornoxicam,0.0100,True
ZINC000000001797,0.0100,True
Famciclovir,0.0000,True
Methimazole,0.0000,True
ZINC000000003938,0.0000,True
Fosfomycin,0.0000,True
ZINC000000003877,-0.0000,True
ZINC000000000015,-0.0000,True
Valganciclovir,-0.0000,True
Salbutamol,0.0000,True
Nicotinamide,0.0000,True
ZINC000000000217,0.0000,True
Ethacrynate_Sodium,0.0000,True
Gestrinone,0.0000,True
Minodronate,0.0000,True
Carbamide_peroxide,-0.0000,True
ZINC000000008039,-0.0100,True
Sodium_sulfide_sulfur,-0.0100,True
Sodium_bicarbonate,-0.0100,True
ZINC000000005171,-0.0100,True
Oxaliplatin,-0.0100,True
ZINC000000000385,-0.0100,True
Taltirelin,-0.0100,True
Acetohydroxamic_Acid,-0.0100,True
Allopurinol,-0.0100,True
ZINC000000002126,-0.0100,True
Oxymorphone,-0.0100,True
L_Glutamic_Acid,-0.0100,True
ZINC000000003949,-0.0100,True
NERIDRONIC_ACID,-0.0100,True
Procarbazine,-0.0100,True
ZINC000000003266,-0.0100,True
Connexyn,-0.0100,True
Chlorphentermine_Hydrochloride,-0.0100,True
ZINC000000004279,-0.0100,True
ZINC000000002116,-0.0100,True
Clopamide,-0.0100,True
Tiotropium,-0.0100,True
ZINC000000005954,-0.0200,True
Gallium_Citrate_Ga_67,-0.0200,True
ZINC000000004075,-0.0200,True
Undecylenic_acid,-0.0200,True
Metharbital,-0.0200,True
Ethosuximide,-0.0200,True
Lithium_Carbonate,-0.0200,True
ZINC000000000989,-0.0200,True
Silver_sulfadiazine,-0.0200,True
ZINC000000005386,-0.0200,True
ZINC000000005088,-0.0200,True
Aciclovir,-0.0200,True
Levalbuterol,-0.0200,True
Potassium_Citrate,-0.0200,True
Gamma_Hydroxybutyric_Acid,-0.0200,True
ZINC000000001045,-0.0200,True
ZINC000000001379,-0.0200,True
ZINC000000005108,-0.0200,True
Gold_sodium_thiomalate,-0.0200,True
FENBUFEN,-0.0200,True
ZINC000000004107,-0.0200,True
ZINC000000008179,-0.0200,True
Ammonium_lactate,-0.0200,True
Benzyl_alcohol,-0.0200,True
Tofacitinib,-0.0200,True
Carbidopa,-0.0200,True
ZINC000000005970,-0.0200,True
Carprofen,-0.0200,True
Azanidazole,-0.0200,True
Triamterene,-0.0300,True
ZINC000000001325,-0.0300,True
Sodium_oxybate,-0.0300,True
Hydroxyamphetamine_Hydrobromide,-0.0300,True
Chlormerodrin,-0.0300,True
Amfepramone,-0.0300,True
Technetium_TC_99M_medronate,-0.0300,True
Aminolevulinic_Acid_Hydrochloride,-0.0300,True
Clofarabine,-0.0300,True
Valproate,-0.0300,True
Desipramine,-0.0300,True
Epicillin,-0.0300,True
Haloprogin,-0.0300,True
Urea,-0.0300,True
Bucillamine,-0.0300,True
ZINC000000001884,-0.0300,True
Theophylline,-0.0300,True
Methylscopolamine,-0.0300,True
ZINC000000002016,-0.0300,True
Inactive_7_NoActivity,-0.0300,True
Monoctanoin,-0.0300,True
ZINC000000008074,-0.0400,True
Streptokinase,-0.0400,True
ZINC000000005160,-0.0400,True
ZINC000000001061,-0.0400,True
Pirprofen,-0.0400,True
N_Acetyl_D_glucosamine,-0.0400,True
Edetate_calcium_disodium,-0.0400,True
Paroxetine,-0.0400,True
Olsalazine,-0.0400,True
Enflurane,-0.0400,True
Calcium_carbimide,-0.0400,True
Dextromethorphan_Polistirex,-0.0400,True
ZINC000000002067,-0.0400,True
ZINC000000003833,-0.0400,True
ZINC000000005331,-0.0400,True
Desflurane,-0.0400,True
ZINC000000002162,-0.0400,True
Doxofylline,-0.0400,True
Sulpiride,-0.0400,True
Propentofylline_propionate,-0.0400,True
Foscavir,-0.0400,True
Ferumoxytol,-0.0400,True
Thalidomide,-0.0400,True
Carbimazole,-0.0400,True
ZINC000000001551,-0.0400,True
SM_101,-0.0400,True
Lithium_Citrate,-0.0500,True
Stavudine,-0.0500,True
Iodinated_glycerol,-0.0500,True
ZINC000000004842,-0.0500,True
Frovatriptan,-0.0500,True
Acetylcysteine,-0.0500,True
Fosdenopterin,-0.0500,True
Hexylcaine,-0.0500,True
Levobupivacaine,-0.0500,True
Solriamfetol,-0.0500,True
Isoniazid,-0.0500,True
Cotinine,-0.0500,True
Epalrestat,-0.0500,True
ZINC000000000693,-0.0500,True
fluciclovine_F_18,-0.0500,True
Butethal,-0.0500,True
Dextromethorphan,-0.0600,True
Halothane,-0.0600,True
Guanabenz,-0.0600,True
ZINC000000008956,-0.0600,True
Codeine,-0.0600,True
ZINC000000002542,-0.0600,True
Eflornithine,-0.0600,True
ZINC000000001324,-0.0600,True
Cysteamine,-0.0600,True
Mefloquine,-0.0600,True
Histamine_Phosphate,-0.0600,True
Terpin_hydrate,-0.0600,True
Debrisoquin,-0.0600,True
Cytarabine,-0.0600,True
Tolnaftate,-0.0600,True
Tropisetron,-0.0600,True
ZINC000000007724,-0.0600,True
Chlorthalidone,-0.0600,True
Sodium_lactate,-0.0600,True
Terbutaline,-0.0600,True
Meperidine,-0.0600,True
Amiloride,-0.0600,True
Pirbuterol,-0.0600,True
Diloxanide,-0.0600,True
ZINC000000000889,-0.0600,True
Guaimesal,-0.0600,True
Pyruvic_acid,-0.0600,True
Lacosamide,-0.0600,True
Rorifone,-0.0600,True
Methacholine_Chloride,-0.0700,True
DTI_015,-0.0700,True
Tiapride,-0.0700,True
Valacyclovir_Hydrochloride,-0.0700,True
Pralidoxime_Chloride,-0.0700,True
Ornidazole,-0.0700,True
Zaleplon,-0.0700,True
Benzocaine,-0.0700,True
Methyldopate_Hydrochloride,-0.0700,True
Bentoquatam,-0.0700,True
Diazepam,-0.0700,True
Benzbromarone,-0.0700,True
Gemifloxacin,-0.0700,True
Levodropropizine,-0.0700,True
Benznidazole,-0.0700,True
Viloxazine,-0.0700,True
ZINC000000002428,-0.0700,True
Dihydroxyacetone,-0.0700,True
ZINC000000001925,-0.0800,True
Abacavir,-0.0800,True
Fudosteine,-0.0800,True
ZINC000000002197,-0.0800,True
Ciprofibrate,-0.0800,True
ZINC000000005988,-0.0800,True
Dexbrompheniramine,-0.0800,True
Cidofovir,-0.0800,True
L_ornithine_L_aspartate,-0.0800,True
Nitroglycerin,-0.0800,True
ZINC000000008907,-0.0800,True
Trichlormethiazide,-0.0800,True
Choline_alfoscerate,-0.0800,True
